mature_acc	terms
MIMAT0000715-0	hsa-mir-302b-3p;hsa-mir-302b
MIMAT0000715-1	hsa-mir-302b
MIMAT0000716-0	hsa-mir-302c-5p;hsa-mir-302c*
MIMAT0000716-2	hsa-mir-302c
MIMAT0000717-0	hsa-mir-302c-3p;hsa-mir-302c
MIMAT0000717-1	hsa-mir-302c
MIMAT0000718-0	hsa-mir-302d-3p;hsa-mir-302d
MIMAT0000718-1	hsa-mir-302d
MIMAT0000719-0	hsa-mir-367-3p;hsa-mir-367
MIMAT0000719-1	hsa-mir-367
MIMAT0000720-0	hsa-mir-376c-3p;hsa-mir-368;hsa-mir-376c
MIMAT0000720-1	hsa-mir-376c;hsa-mir-368
MIMAT0000721-0	hsa-mir-369-3p;hsa-mir-369
MIMAT0000721-1	hsa-mir-369
MIMAT0000722-0	hsa-mir-370-3p
MIMAT0000722-1	hsa-mir-370
MIMAT0000723-0	hsa-mir-371a-3p;hsa-mir-371;hsa-mir-371-3p
MIMAT0000723-2	hsa-mir-371a;hsa-mir-371
MIMAT0000724-0	hsa-mir-372-3p
MIMAT0000724-1	hsa-mir-372
MIMAT0000725-0	hsa-mir-373-5p;hsa-mir-373*
MIMAT0000725-2	hsa-mir-373
MIMAT0000726-0	hsa-mir-373-3p;hsa-mir-373
MIMAT0000726-1	hsa-mir-373
MIMAT0000727-0	hsa-mir-374a-5p;hsa-mir-374;hsa-mir-374a
MIMAT0000727-2	hsa-mir-374a;hsa-mir-374
MIMAT0000728-0	hsa-mir-375
MIMAT0000728-1	hsa-mir-375
MIMAT0000729-0	hsa-mir-376a-3p;hsa-mir-376a
MIMAT0000729-1	hsa-mir-376a-1;hsa-mir-376a;hsa-mir-376a-2
MIMAT0000730-0	hsa-mir-377-3p;hsa-mir-377
MIMAT0000730-1	hsa-mir-377
MIMAT0000731-0	hsa-mir-378a-5p;hsa-mir-378;hsa-mir-378*
MIMAT0000731-2	hsa-mir-378a;hsa-mir-378
MIMAT0000732-0	hsa-mir-378a-3p;hsa-mir-422b;hsa-mir-378
MIMAT0000732-1	hsa-mir-378a;hsa-mir-378
MIMAT0000733-0	hsa-mir-379-5p;hsa-mir-379
MIMAT0000733-1	hsa-mir-379
MIMAT0000734-0	hsa-mir-380-5p;hsa-mir-380-5p;hsa-mir-380*
MIMAT0000734-2	hsa-mir-380
MIMAT0000735-0	hsa-mir-380-3p;hsa-mir-380-3p;hsa-mir-380
MIMAT0000735-1	hsa-mir-380
MIMAT0000736-0	hsa-mir-381-3p;hsa-mir-381
MIMAT0000736-1	hsa-mir-381
MIMAT0000737-0	hsa-mir-382-5p;hsa-mir-382
MIMAT0000737-2	hsa-mir-382
MIMAT0000738-0	hsa-mir-383-5p
MIMAT0000738-1	hsa-mir-383
MIMAT0000750-0	hsa-mir-340-3p;hsa-mir-340;hsa-mir-340*
MIMAT0000750-2	hsa-mir-340
MIMAT0000751-0	hsa-mir-330-3p;hsa-mir-330
MIMAT0000751-1	hsa-mir-330
MIMAT0000752-0	hsa-mir-328-3p
MIMAT0000752-1	hsa-mir-328
MIMAT0000753-0	hsa-mir-342-3p;hsa-mir-342
MIMAT0000753-2	hsa-mir-342
MIMAT0000754-0	hsa-mir-337-3p;hsa-mir-337
MIMAT0000754-1	hsa-mir-337
MIMAT0000755-0	hsa-mir-323a-3p;hsa-mir-323;hsa-mir-323-3p
MIMAT0000755-1	hsa-mir-323a;hsa-mir-323
MIMAT0000756-0	hsa-mir-326
MIMAT0000756-1	hsa-mir-326
MIMAT0000757-0	hsa-mir-151a-3p;hsa-mir-151;hsa-mir-151-3p
MIMAT0000757-1	hsa-mir-151a;hsa-mir-151
MIMAT0000758-0	hsa-mir-135b-5p;hsa-mir-135b
MIMAT0000758-1	hsa-mir-135b
MIMAT0000759-0	hsa-mir-148b-3p;hsa-mir-148b
MIMAT0000759-1	hsa-mir-148b
MIMAT0000760-0	hsa-mir-331-3p;hsa-mir-331
MIMAT0000760-1	hsa-mir-331
MIMAT0000761-0	hsa-mir-324-5p
MIMAT0000761-1	hsa-mir-324
MIMAT0000762-0	hsa-mir-324-3p
MIMAT0000762-2	hsa-mir-324
MIMAT0000763-0	hsa-mir-338-3p;hsa-mir-338
MIMAT0000763-1	hsa-mir-338
MIMAT0000764-0	hsa-mir-339-5p;hsa-mir-339
MIMAT0000764-2	hsa-mir-339
MIMAT0000765-0	hsa-mir-335-5p;hsa-mir-335
MIMAT0000765-1	hsa-mir-335
MIMAT0000770-0	hsa-mir-133b
MIMAT0000770-1	hsa-mir-133b
MIMAT0000771-0	hsa-mir-325
MIMAT0000772-0	hsa-mir-345-5p;hsa-mir-345
MIMAT0000772-1	hsa-mir-345
MIMAT0000773-0	hsa-mir-346
MIMAT0000773-1	hsa-mir-346
MIMAT0001075-0	hsa-mir-384
MIMAT0001080-0	hsa-mir-196b-5p;hsa-mir-196b
MIMAT0001080-1	hsa-mir-196b
MIMAT0001339-0	hsa-mir-422a
MIMAT0001340-0	hsa-mir-423-3p;hsa-mir-423
MIMAT0001340-2	hsa-mir-423
MIMAT0001341-0	hsa-mir-424-5p;hsa-mir-424
MIMAT0001341-1	hsa-mir-424
MIMAT0001343-0	hsa-mir-425-3p;hsa-mir-425;hsa-mir-425-3p;hsa-mir-425*
MIMAT0001343-2	hsa-mir-425
MIMAT0001412-0	hsa-mir-18b-5p;hsa-mir-18b
MIMAT0001412-1	hsa-mir-18b
MIMAT0001413-0	hsa-mir-20b-5p;hsa-mir-20b
MIMAT0001413-1	hsa-mir-20b
MIMAT0001532-0	hsa-mir-448
MIMAT0001536-0	hsa-mir-429
MIMAT0001536-1	hsa-mir-429
MIMAT0001541-0	hsa-mir-449a;hsa-mir-449
MIMAT0001541-1	hsa-mir-449a;hsa-mir-449
MIMAT0001545-0	hsa-mir-450a-5p;hsa-mir-450;hsa-mir-450a
MIMAT0001545-1	hsa-mir-450a-1;hsa-mir-450;hsa-mir-450-1;hsa-mir-450a-2;hsa-mir-450-2
MIMAT0001618-0	hsa-mir-191-3p;hsa-mir-191*
MIMAT0001618-2	hsa-mir-191
MIMAT0001620-0	hsa-mir-200a-5p;hsa-mir-200a*
MIMAT0001620-2	hsa-mir-200a
MIMAT0001621-0	hsa-mir-369-5p
MIMAT0001621-2	hsa-mir-369
MIMAT0001625-0	hsa-mir-431-5p;hsa-mir-431
MIMAT0001625-1	hsa-mir-431
MIMAT0001627-0	hsa-mir-433-3p
MIMAT0001627-1	hsa-mir-433
MIMAT0001629-0	hsa-mir-329-3p
MIMAT0001629-1	hsa-mir-329-1;hsa-mir-329-2
MIMAT0001630-0	hsa-mir-323b-5p;hsa-mir-453
MIMAT0001631-0	hsa-mir-451a;hsa-mir-451
MIMAT0001631-1	hsa-mir-451a;hsa-mir-451
MIMAT0001635-0	hsa-mir-452-5p;hsa-mir-452
MIMAT0001635-1	hsa-mir-452
MIMAT0001636-0	hsa-mir-452-3p;hsa-mir-452*
MIMAT0001636-2	hsa-mir-452
MIMAT0001638-0	hsa-mir-409-5p
MIMAT0001638-2	hsa-mir-409
MIMAT0001639-0	hsa-mir-409-3p
MIMAT0001639-1	hsa-mir-409
MIMAT0002170-0	hsa-mir-412-3p
MIMAT0002170-2	hsa-mir-412
MIMAT0002171-0	hsa-mir-410-3p
MIMAT0002171-1	hsa-mir-410
MIMAT0002172-0	hsa-mir-376b-3p;hsa-mir-376b
MIMAT0002172-1	hsa-mir-376b
MIMAT0002173-0	hsa-mir-483-3p;hsa-mir-483
MIMAT0002173-2	hsa-mir-483
MIMAT0002174-0	hsa-mir-484
MIMAT0002174-1	hsa-mir-484
MIMAT0002175-0	hsa-mir-485-5p
MIMAT0002175-1	hsa-mir-485
MIMAT0002176-0	hsa-mir-485-3p
MIMAT0002176-2	hsa-mir-485
MIMAT0002177-0	hsa-mir-486-5p;hsa-mir-486
MIMAT0002177-2	hsa-mir-486-1;hsa-mir-486;hsa-mir-486-2
MIMAT0002178-0	hsa-mir-487a-3p;hsa-mir-487
MIMAT0002178-1	hsa-mir-487a;hsa-mir-487
